176,AMS,LaCuisineRonde,4.8948848,52.3702939,2016/11/01-2017/12/31
710,ATH,DELIVERASΑ.Ε,23.727435,37.983627,2017/02/04-2017/06/30
710,ATH,DELIVERASΑ.Ε,23.727435,37.983627,2017/07/01-2017/08/31
710,ATH,DELIVERASΑ.Ε,23.727435,37.983627,2017/09/01-2017/09/30
710,ATH,DELIVERASΑ.Ε,23.727435,37.983627,2017/10/09-2017/12/31
710,ATH,DELIVERASΑ.Ε,23.727435,37.983627,2017/10/01-2017/10/08
706,EDI,Rabbie'sCafeBar,-3.1881621,55.9533768,2016/12/27-2017/04/30
706,EDI,Rabbie'sCafeBar,-3.1881621,55.9533768,2017/12/24-2017/12/26
706,EDI,Rabbie'sCafeBar,-3.1881621,55.9533768,2017/12/27-2017/12/31
706,EDI,Rabbie'sCafeBar,-3.1881621,55.9533768,2017/11/01-2017/12/23
706,EDI,Rabbie'sCafeBar,-3.1881621,55.9533768,2017/05/01-2017/10/31
192,ORY,H_teldeVille,2.3524135,48.8564826,2016/11/01-2017/12/31
827,OSL,RainbowTekstilAS,10.752753,59.913685,2016/11/01-2017/04/30
827,OSL,RainbowTekstilAS,10.752753,59.913685,2017/05/01-2017/10/31
827,OSL,RainbowTekstilAS,10.752753,59.913685,2017/11/01-2017/12/31
674,OTP,ParculUnirii,26.1018262,44.4279564,2016/11/01-2017/12/31
707,BCN,LasFavoritas,2.1733283,41.3851465,2017/03/07-2017/04/30
707,BCN,LasFavoritas,2.1733283,41.3851465,2017/05/01-2017/10/31
707,BCN,LasFavoritas,2.1733283,41.3851465,2017/11/01-2017/12/31
361,BGY,PalazzodeiGiureconsulti,9.1882297,45.4649606,2016/11/01-2017/04/16
361,BGY,PalazzodeiGiureconsulti,9.1882297,45.4649606,2017/04/17-2017/04/22
361,BGY,PalazzodeiGiureconsulti,9.1882297,45.4649606,2017/04/23-2017/12/31
1270,BHX,TheOldFireStation-StudentAccommodation,-1.8648133,50.7230013,2017/03/21-2017/12/31
637,BUD,FountainoftheFishingChildren,19.0388843,47.4971436,2016/11/01-2017/12/31
674,BBU,ParculUnirii,26.1018262,44.4279564,2016/11/01-2017/12/31
4008,BTS,Grassalkovichovpalác,17.107722,48.149083,2016/11/01-2017/12/31
1288,PRG,NationalHouseofVinohrady,14.437947,50.075629,2016/11/01-2017/12/31
196,BRU,InstructionpubliquedelaVilledeBruxelles,4.3521188,50.8505579,2016/11/01-2017/12/31
192,CDG,H_teldeVille,2.3524135,48.8564826,2016/11/01-2017/12/31
803,DUB,JamesJoyceStatue,-6.2597805,53.3499191,2016/12/27-2017/04/30
803,DUB,JamesJoyceStatue,-6.2597805,53.3499191,2017/05/01-2017/10/31
803,DUB,JamesJoyceStatue,-6.2597805,53.3499191,2017/11/01-2017/12/31
762,DUS,Naseband's,6.7732734,51.2274986,2017/04/01-2017/10/31
762,DUS,Naseband's,6.7732734,51.2274986,2017/11/01-2017/12/31
762,DUS,Naseband's,6.7732734,51.2274986,2016/05/01-2017/03/31
250,FRA,MainWürschtl,8.6825005,50.1109471,2016/10/27-2017/12/31
343,FCO,ObeliscodiDogali,12.4974666,41.902147,2016/11/01-2017/12/31
363,MUC,ValentinKarlstadtMus_um,11.5817004,48.1349574,2016/10/27-2017/12/31
260,CPH,CopenhagenCityHall,12.570163,55.67528,2016/11/01-2017/04/30
260,CPH,CopenhagenCityHall,12.570163,55.67528,2017/05/01-2017/10/31
260,CPH,CopenhagenCityHall,12.570163,55.67528,2017/11/01-2017/12/31
763,HAM,AlsterDinner-ShippingHamburg,9.9938803,53.5513698,2016/11/01-2017/12/31
277,HEL,IndianRestaurantsHelsinkiOy,24.9383702,60.16962,2016/11/01-2017/04/30
277,HEL,IndianRestaurantsHelsinkiOy,24.9383702,60.16962,2017/05/01-2017/10/31
277,HEL,IndianRestaurantsHelsinkiOy,24.9383702,60.16962,2017/11/01-2017/12/31
293,WAW,NovotelWarszawaCentrum,21.012688,52.229439,2016/12/27-2017/12/31
1231,LIS,EstacionamentoCampoMártiresdaPátria,-9.139524,38.721516,2017/05/01-2017/10/31
1231,LIS,EstacionamentoCampoMártiresdaPátria,-9.139524,38.721516,2017/11/01-2017/12/31
1231,LIS,EstacionamentoCampoMártiresdaPátria,-9.139524,38.721516,2016/10/18-2017/04/30
361,LIN,PalazzodeiGiureconsulti,9.1882297,45.4649606,2017/04/17-2017/04/22
361,LIN,PalazzodeiGiureconsulti,9.1882297,45.4649606,2017/04/23-2017/12/31
361,LIN,PalazzodeiGiureconsulti,9.1882297,45.4649606,2016/11/01-2017/04/16
1266,LJU,TSmediamedijskevsebineinstoritved.o.o.,15.2708838,46.2450682,2016/11/01-2017/12/31
338,LCY,LambertOfLondon,-0.2452552,51.528479,2017/05/01-2017/10/31
338,LCY,LambertOfLondon,-0.2452552,51.528479,2017/11/01-2017/12/31
338,LCY,LambertOfLondon,-0.2452552,51.528479,2017/02/16-2017/04/30
338,LGW,LambertOfLondon,-0.2452552,51.528479,2017/02/16-2017/04/30
338,LGW,LambertOfLondon,-0.2452552,51.528479,2017/05/01-2017/10/31
338,LGW,LambertOfLondon,-0.2452552,51.528479,2017/11/01-2017/12/31
338,LTN,LambertOfLondon,-0.2452552,51.528479,2017/02/16-2017/04/30
338,LTN,LambertOfLondon,-0.2452552,51.528479,2017/05/01-2017/10/31
338,LTN,LambertOfLondon,-0.2452552,51.528479,2017/11/01-2017/12/31
338,STN,LambertOfLondon,-0.2452552,51.528479,2017/05/01-2017/10/31
338,STN,LambertOfLondon,-0.2452552,51.528479,2017/11/01-2017/12/31
338,STN,LambertOfLondon,-0.2452552,51.528479,2017/02/16-2017/04/30
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/02/16-2017/04/30
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/05/01-2017/10/31
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/11/01-2017/12/23
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/12/24-2017/12/26
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/12/27-2017/12/31
357,MAD,equestrianstatueofCarlosIII,-3.7035446,40.4170119,2017/05/01-2017/10/31
357,MAD,equestrianstatueofCarlosIII,-3.7035446,40.4170119,2017/11/01-2017/12/31
357,MAD,equestrianstatueofCarlosIII,-3.7035446,40.4170119,2016/10/18-2017/04/30
361,MXP,PalazzodeiGiureconsulti,9.1882297,45.4649606,2016/11/01-2017/04/16
361,MXP,PalazzodeiGiureconsulti,9.1882297,45.4649606,2017/04/17-2017/04/22
361,MXP,PalazzodeiGiureconsulti,9.1882297,45.4649606,2017/04/23-2017/12/31
712,MRS,ParkingH_teldeVille,5.914893,45.688165,2016/11/01-2017/12/31
722,MAN,VirginMoneyLounge,-0.132712,51.509796,2017/02/17-2017/12/31
775,NCE,KiosqueChezTintin,7.2615372,43.7102326,2017/05/11-2017/05/18
775,NCE,KiosqueChezTintin,7.2615372,43.7102326,2017/05/19-2017/12/31
775,NCE,KiosqueChezTintin,7.2615372,43.7102326,2016/11/01-2017/05/10
343,CIA,HotelQuirinale,12.4948717,41.9016621,2016/11/01-2017/12/31
1418,ZAG,OrdinacijaVu_i_,15.9821542,45.8149322,2016/11/01-2017/12/31
713,LYS,PalaceoftheLyonStockExchange,4.8361026,45.7641609,2016/12/27-2017/12/31
420,ARN,StockholmStadhus,18.0543456,59.3274506,2017/05/01-2017/10/31
420,ARN,StockholmStadhus,18.0543456,59.3274506,2017/11/01-2017/12/31
420,ARN,StockholmStadhus,18.0543456,59.3274506,2016/11/01-2017/04/30
434,ZRH,ZürichHB,8.5401898,47.377938,2016/11/03-2017/12/31
792,SOF,SvetaPetkaChurch,24.7548417,42.1445722,2016/11/01-2017/12/31
193,TXL,BerlinerDom,13.3889212,52.5190795,2016/10/27-2017/03/30
193,TXL,BerlinerDom,13.3889212,52.5190795,2017/03/31-2017/10/31
193,TXL,BerlinerDom,13.3889212,52.5190795,2017/11/01-2017/12/31
688,TSF,Venezia-Mestre,12.231655,45.4825671,2016/11/01-2017/12/31
688,VCE,Venezia-Mestre,12.231655,45.4825671,2016/11/01-2017/12/31
651,VIE,DomkircheSt.Stephan,16.3731081,48.2084527,2016/11/01-2017/12/31
1263,TRN,PiazzaCastello,8.573077,45.935246,2017/3/21-2017/12/31
366,SVO,Краснаяплощадь（喀山大教堂）,37.619255,55.755455,2017/3/21-2017/12/31
1248,HAJ,DeutscheMesseAG,9.806113,52.322855,2017/3/21-2017/12/31
709,CGN,CologneCityHall,6.9594015,50.938069,2017/3/21-2017/12/31
